id_digit,lat,lng,coordenada,archivo_json
TZk5e,42.3900392,2.2980181,"[2.2980181, 42.3900392]",2282_0.json
Xmwv5,42.1284091,2.3289972,"[2.3289972, 42.1284091]",29_2.json
D2dVf,42.1266992,2.3170783,"[2.3170783, 42.1266992]",
rmG6b,42.3802778,2.3028943,"[2.3028943, 42.3802778]",2282_0.json
sKKRT,42.1277717,2.330048,"[2.330048, 42.1277717]",29_2.json
mL2Xo,42.356891,1.7582537,"[1.7582537, 42.356891]",
WAZn3,42.3650797,1.7536673,"[1.7536673, 42.3650797]",
qGXMP,42.3520483,1.7601891,"[1.7601891, 42.3520483]",
RxpEs,42.5494967,1.2273553,"[1.2273553, 42.5494967]",
Lo56r,42.5484583,1.2296866,"[1.2296866, 42.5484583]",
W4Cux,42.5486639,1.2314696,"[1.2314696, 42.5486639]",
4WMEQ,42.1291478,2.3280687,"[2.3280687, 42.1291478]",29_2.json
EUQH9,42.3512096,1.7597029,"[1.7597029, 42.3512096]",
DfYpT,42.1257742,2.3269786,"[2.3269786, 42.1257742]",29_2.json
jzQ1V,42.3495704,1.7611548,"[1.7611548, 42.3495704]",
YA8Wj,42.3652456,1.7527645,"[1.7527645, 42.3652456]",
CAN1,43.3680491,-4.327935,"[-4.327935, 43.3680491]",
CAN3,43.3676394,-4.3281426,"[-4.3281426, 43.3676394]",
CAN4,43.3676645,-4.328635,"[-4.328635, 43.3676645]",
CAN5,43.3662862,-4.3281794,"[-4.3281794, 43.3662862]",
CAN5,43.3662862,-4.3281794,"[-4.3281794, 43.3662862]",
CAN6,43.3703038,-4.3242912,"[-4.3242912, 43.3703038]",
CAN7,43.370172,-4.324132,"[-4.324132, 43.370172]",
CAN9,43.2341388,-3.8227339,"[-3.8227339, 43.2341388]",
CAN11,43.2058594,-3.8065542,"[-3.8065542, 43.2058594]",
CAN12,43.2038991,-3.8051708,"[-3.8051708, 43.2038991]",
CAN13,43.2030032,-3.8077749,"[-3.8077749, 43.2030032]",
CAN14,43.4012022,-3.9115321,"[-3.9115321, 43.4012022]",
CAN16,43.4006375,-3.9114195,"[-3.9114195, 43.4006375]",
jPfpm,42.5520365,1.3224716,"[1.3224716, 42.5520365]",
LOpfE,42.5418392,1.3114038,"[1.3114038, 42.5418392]",
EthpY,42.093678,2.8978136,"[2.8978136, 42.093678]",4051_1.json
A2kpt,42.6207191,1.1303136,"[1.1303136, 42.6207191]",
